quarter,speaker,title,content,sentiment,confidence,sentiment_category,LLM_sentiment,LLM_pct_strong_positive,LLM_pct_slightly_positive,LLM_pct_neutral,LLM_pct_slightly_negative,LLM_pct_strong_negative,Manual Annotations
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Good afternoon, and welcome to the Apple Q1 fiscal year 2025 earnings conference call. My name is Suhasini Chandramouli, Director of investor relations. Today's call is being recorded. Speaking first today are Apple CEO, Tim Cook; and he'll be followed by CFO, Kevan Parekh.",neutral,0.942036808,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Thank you, Suhasini. Good afternoon, everyone, and thanks for joining the call. Before I talk about our results, I'd like to take a moment to acknowledge the devastating wildfires that impacted the Los Angeles area this month. From our retail teams to Apple TV+, Apple Music, Fitness+, Beats, and more, L.A. When our analyst team has a stock tip, it can pay to listen. After all, Stock Advisor’s total average return is 1,070% — a market-crushing outperformance compared to 184% for the S&P 500. *Stock Advisor returns as of August 18, 2025 is home to many of our team members. Our thoughts are with everyone who is beginning the road to recovery. For our part, we are contributing to the relief efforts, and we will continue to support our teams and the local community. Now, turning to the quarter. Today, Apple is reporting revenue of $124.3 billion for the December quarter, up 4% from a year ago and an all-time record. EPS also set an all-time record of $2.40, 10% higher year over year. We achieved all-time revenue records across the majority of the countries and regions we track, including the Americas, Europe, Japan, and the rest of Asia Pacific. We also continue to see momentum in emerging markets, setting all-time revenue records in a number of markets, including Latin America, the Middle East, and South Asia, among others. English for iPhone, iPad, and Mac, and we rolled out more features and expanded to more countries in December. Now, users can discover the benefits of these new features in the things they do every day. They can use Writing Tools to help find just the right words, create fun and unique images with Image Playground and Genmoji, handle daily tasks and seek out information with a more natural and conversational Siri, create movies of their memories with a simple prompt, and touch up their photos with Clean Up. We introduce visual intelligence with camera control to help users instantly learn about their surroundings. Users can also seamlessly access ChatGPT across iOS, iPadOS, and macOS. And we were excited to recently begin our international expansion with Apple Intelligence now available in Australia, Canada, New Zealand, South Africa, and the U.K. We're working hard to take Apple Intelligence even further. In April, we're bringing Apple Intelligence to more languages, including French, German, Italian, Portuguese, Spanish, Japanese, Korean, and simplified Chinese, as well as localized English to Singapore and India. And we'll continue to roll out more features in the future, including an even more capable Siri. Apple Intelligence builds on years of innovations we've made across hardware and software to transform how users experience our products. Apple Intelligence also empowers users by delivering personal context that's relevant to them. And importantly, Apple Intelligence is a breakthrough for privacy and AI with innovations like private cloud compute, which extends the industry-leading security and privacy of Apple devices into the cloud. Apple Intelligence opens up an exciting new frontier and is already elevating experiences across iPhone, iPad, and Mac. We're going to keep investing in innovation and in transformative tools that help users in their everyday lives. Let me now turn to our results for the quarter, starting with iPhone. iPhone revenue came in at $69.1 billion, reaching all-time iPhone revenue records in dozens of markets and regions. Our iPhone 16 lineup takes the smartphone experience to the next level in so many ways, and Apple intelligence is one of many reasons why customers are excited. With the A18 powered iPhone 16 and iPhone 16 Plus, users are getting a big boost in battery life and incredible camera experiences with camera control. Our amazingly powerful iPhone 16 Pro models go even further with larger-than-ever displays and a pro camera system so advanced, it can turn moments into masterpieces. In Mac, revenue was $9 billion for the December quarter, 16% higher year over year, driven by significant excitement around the world for our latest Mac lineup. The Mac is more than just a powerful tool. It's a launch pad to enable users to bring their best ideas and boldest creations to life. And there are so many reasons to choose Mac, from the breathtaking performance of the M4 family of chips, to the groundbreaking and growing capabilities of Apple Intelligence. Every product in the Mac lineup offers something extraordinary, whether that's the super-portable MacBook Air, the powerhouse MacBook Pro, the world's best all-in-one iMac, or the small wonder that is the Mac Mini, which is not only stunningly capable but is our first carbon-neutral Mac. All of this is enabled by the unparalleled power of Apple silicon. iPad revenue was $8.1 billion, up 15% from a year ago, driven by strong interest for our latest products. We love hearing from customers who are discovering for the first time the versatility of iPad, from the ultra portable iPad Mini built from the ground up for Apple intelligence, to the powerful M4 iPad Pro in a stunningly thin and light design. iPad is there for our users whenever they need it and wherever they go, and we are pleased to see so much excitement and enthusiasm for our lineup. Wearables, home, and accessories revenue came in at $11.7 billion. With its most advanced display yet and a thinner, more comfortable design, the all-new Apple Watch Series 10 is the perfect companion to help users pursue their health and fitness goals this year. From the powerful Vitals app to more customizable activity rings, users have an ever-increasing set of innovative health tools at their fingertips in watchOS 11. Health innovation has long been a focus for us, and we're committed to continuing to advance this work because we know how much it matters to our users. We've introduced new hearing health features on AirPods Pro 2. And new sleep apnea notifications on Apple Watch are also helping users learn of a potentially serious condition that's thought to affect up to a billion people worldwide. During the quarter, we also brought Apple Vision Pro to even more countries, enabling more customers to discover the magic of spatial computing. Users are enjoying incredible immersive entertainment experiences and powerful new features and enhancements to Mac virtual display. Vision Pro is also supercharging the creative process, and the incredibly talented director, Jon M. Chu, recently shared how its extraordinary capabilities helped him bring the movie ""Wicked"" to life. Turning to services, we set an all-time revenue record of $26.3 billion for the December quarter, growing 14% from a year ago. We set all-time records in the Americas, Europe, and rest of Asia Pacific, and a December quarter record in Japan. Five years since launch, Apple TV+ continues to be home to incredible storytelling that viewers love. There's nothing quite like the anticipation that comes when a fan favorite returns, and we were thrilled to debut the second season of ""Severance"" earlier this month. We have so much in store for our subscribers this year with new shows like ""The Studio"" and ""Your Friends and Neighbors."" And we can't wait for the premiere of ""Formula 1"" starring Brad Pitt on June 27th, which will take viewers inside the sport in a truly unprecedented way. We're excited that Apple TV Plus continues to draw attention and accolades. Today, Apple TV+ productions have earned more than 2,500 nominations and 538 wins. During the quarter, we were also excited to launch a new Find My service that can help our users when they lose their luggage. For the first time, if you put an AirTag in your suitcase, you'll be able to share its location information with many major airlines so they can quickly track down your bags if they get lost. Turning to retail, our teams went above and beyond to help customers find the perfect gift throughout the holiday season. We also celebrated openings of new stores in China, Spain, and the U.S. And we were excited to announce plans to connect with even more customers this year by adding a fifth store in the UAE and bringing our online store to Saudi Arabia this summer. We can't wait to welcome customers to the first of several flagship store locations in Saudi Arabia that were opening beginning in 2026. I just had the chance to visit both countries last month, and I had a great time meeting with customers and team members. There's an incredible energy and passion for technology in these growing markets. Every day, I get deeply moving notes about the many ways our technology is enriching our users' lives. I recently got a note from a customer who put his watch on his father's wrist when he feared something was wrong with him. The watch alerted them that the father was in AFib and they were able to get him to the hospital for potentially life-saving treatment. Another user put his new watch on for the first time and within 15 minutes was notified of a low heart rate that led to a necessary pacemaker. And there are so many touching notes around the profound impact of our new hearing health feature, like a recent user who told me it had changed her life, allowing her to take part in conversations with her children and grandchildren. These are the kind of stories that remind us of how profoundly important our work is, and it drives us to innovate each and every day. At Apple, the future is full of promise and potential. We're always searching across a world of possibilities, finding those places where we can do the most good and putting all of our energy and ingenuity into making something special. With that, I'll turn it over to Kevan.",neutral,0.868479311,Neutral,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Kevan Parekh,"Senior Vice President, Chief Financial Officer","Thanks, Tim, and good afternoon, everyone. I'm going to cover the results for the first quarter of our fiscal year. We are very pleased to report an all-time high for revenue, with December quarter revenue of $124.3 billion, up 4% year over year. We achieved all-time revenue records in the Americas, Europe, Japan, and rest of Asia Pacific and grew in the vast majority of markets we track. Products revenue was $98 billion, up 2% year over year, driven by growth from iPad and Mac. Thanks to our incredible customer satisfaction and strong loyalty, our install base of active devices reached an all-time high across all products and geographic segments and is now over 2.35 billion active devices. Services revenue reached an all-time record of $26.3 billion, up 14% year over year. We grew in every geographic segment and achieved all-time records in both developed and emerging markets. Company gross margin was 46.9% at the high end of our guidance range and up 70 basis points sequentially, primarily driven by favorable mix. Products gross margin was 39.3%, up 300 basis points sequentially, primarily driven by favorable mix and leverage. Services gross margin was 75%, up 100 basis points sequentially, primarily driven by mix. Operating expenses of $15.4 billion landed at the midpoint of our guidance range and up 7% year over year. This strong business performance resulted in all-time records for both net income at $36.3 billion and diluted earnings per share of $2.40, up 10% year over year. Operating cashflow is also strong at $29.9 billion, which included the impact of the $11.9 billion we paid during the quarter in connection with the state aid decision. Now, I'm going to provide some more details for each of our revenue categories. iPhone revenue was $69.1 billion, roughly flat to the prior year. We grew in the majority of markets we track and reached all-time revenue records in several developed markets, including Canada, Western Europe, and Japan, and in emerging markets like Latin America, the Middle East, and South Asia. The iPhone active install base grew to an all-time high in total in an average geographic segment. We also set an all-time record for upgraders. According to a recent survey from Kantar, during the December quarter, iPhone was a top-selling model in the U.S., urban China, India, the U.K., France, Australia, and Japan. We continue to see high levels of customer satisfaction in the U.S. at 96% as measured by 451 research. Mac generated $9 billion in revenue, up 16% year over year. We saw strength across our lineup, from the new Mac mini to the latest MacBook Air and MacBook Pro models. This incredible performance was broad-based with double-digit growth in every geographic segment. With our latest advances in Apple silicon and our fastest neural engine ever, customers are able to take advantage of the full capabilities of AI and Mac. The Mac install base reached an all-time high, and we saw a double-digit growth for both upgraders and customers new to the Mac. Additionally, customer satisfaction in the U.S. was recently measured at 94%. iPad revenue was $8.1 billion, up 15% year over year, driven by the new iPad mini and latest iPad Air. The iPad install base reached another all-time high, and over half of the customers who purchased an iPad during the quarter were new to the product. Customer satisfaction was at 96% in the U.S. based on the latest reports from 451 Research. Wearables, home, and accessories revenue was $11.7 billion, down 2% year over year. Customers are excited about the new AirPods 4 and the latest hearing health features in AirPods Pro 2. On watch, although we faced a difficult compare against the Watch Ultra 2 launch last year, the Apple Watch install base reached a new all-time high, with over half of customers purchasing an Apple Watch during the quarter being new to the product. with features like writing tools, summarize, and priority notifications to enhance both their employee and customer experiences. We also see strong demand in our emerging markets. For example, Zomato, a leading food ordering and delivery company in India, has deployed thousands of Macs across their workforce to foster innovation. And Vision Pro continues to see more use cases in enterprise with Cisco's new spatial meetings, delivering a fully immersive video conferencing experience for remote collaboration and learning. Let me quickly summarize our cash position and capital return program. We ended the quarter with $141 billion in cash and marketable securities. We repaid $1 billion in maturing debt and decreased commercial paper by $8 billion, resulting in $97 billion in total debt. Therefore, net cash at the end of the quarter was $45 billion. The color we're providing today assumes that the macroeconomic outlook doesn't worsen from what we're projecting today for the current quarter. As the dollar strengthens significantly, we expect foreign exchange to be a headwind and to have a negative impact on revenue of about 2.5 percentage points on a year-over-year basis. Despite that headwind, we expect our March quarter total company revenue to grow low to mid single digits year over year. We expect services revenue to grow low double digits year over year. When you remove the negative impact of the foreign exchange headwinds I described earlier, the year-over-year growth rate would be comparable to that of the December quarter. We expect gross margin to be between 46.5% and 47.5%. We expect operating expenses to be between $15.1 billion and $15.3 billion. We expect OI&E to be around negative $300 million, excluding any potential impact from the mark-to-market of minority investments and our tax rate to be around 16%. Finally, today, our board of directors has declared a cash dividend of $0.25 per share of common stock payable on February 13th, 2025 to shareholders of record as of February 10, 2025. With that, let's open to call the questions.",positive,0.942900836,Strong Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thank you, Kevan. We ask that you limit yourself to two questions. Operator, may we have the first question, please? Operator Certainly. We will go ahead and take our first question from Erik Woodring with Morgan Stanley. Please go ahead.",neutral,0.937472105,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Erik Woodring,Analyst,"Great, guys. Thanks so much for taking my questions. You know, Tim, in your prepared remarks, you had noted that iPhone 16 models are selling better in markets where Apple Intelligence is available. And I'm just wondering if you could double-click on that comment a bit and share any other details you believe could, you know, better help us understand how Apple Intelligence is really impacting iPhone demand and/or what features you find that users are using most often already. And then, I just have a quick follow-up. Thank you.",neutral,0.825076878,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, Erik. Hi, it's Tim. The -- we did see that the markets where we had rolled out Apple Intelligence that the year over year performance on the iPhone 16 family was stronger than those where Apple Intelligence was not available. In terms of the features that people are using, they're using all of the ones that I'd referenced in my opening comments, from Writing Tools to Image Playground and Genmoji, to visual intelligence and more. And so, we see all of those being used. The Clean Up is another one that is popular, and people love seeing that when demoed in the stores as well. We only had two, two and a half weeks or so during the December quarter of the second release of 18.2. And then, only had the U.K. and the other English language countries for the two and a half weeks. And so, we've got, you know, just the early indications at the moment. But we were glad --",neutral,0.639036536,Neutral,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Erik Woodring,Analyst,"OK. Thank you for that, Tim. It's helpful. And then, you know, if we just touch on China, obviously, in the news fairly frequently. If we set aside China macro, which I understand is still challenging, can you maybe talk about the headwinds that Apple faces, whether that's, you know, shifting preferences for Western technology brands in favor of domestic vendors, or is this just a function of not necessarily having Apple Intelligence available with the iPhone 16, which is, you know, not necessarily helping replacement cycles? Just maybe double-clicking on what you think and what you're hearing in China as a regard -- as it relates to the iPhone. Thanks so much.",neutral,0.84264046,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, sure. If you look at our greater China revenue for the quarter, we were down 11% year over year. And over half of the decline that we experienced was driven by change in channel inventory from the beginning to the end of the quarter. And, of course, on the Apple Intelligence side, we have not rolled out in China. And as we just talked about, we did see better results in the markets that we had rolled out in than markets we hadn't rolled out in. And, of course, it's the most competitive market in the world. And so, all of those things are true. In terms of the macro situation, there was a fiscal stimulus or subsidy announced in -- very recently in January that did not affect the December quarter. There were some provincial subsidies in the December quarter, but the national program was announced, I believe, on January 20th. And it does cover the categories that we have products in from smartphones to tablets and PCs and smartwatches up to a certain maximum price point. And so, we do see fiscal stimulus occurring, and we'll be glad to talk about what that looks like on the next call.",negative,0.892857432,Strong Negative,Slightly Negative,0,0.1,0.4,0.4,0.1,Neutral
Q1_2025,Erik Woodring,Analyst,"Great. Thanks so much, Tim. Good luck.",positive,0.868518174,Strong Positive,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thank you, Erik. Operator, can we have the next question, please? Operator Our next question is from Ben Reitzes with Melius. Please go ahead.",neutral,0.936135173,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
